STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/28/2020,72,87,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/29/2020,70,76,61
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",6/30/2020,74,86,64
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/1/2020,80,86,58
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/2/2020,73,90,53
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/3/2020,75,92,55
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/4/2020,76,90,62
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/5/2020,75,89,65
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/6/2020,72,81,57
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/7/2020,69,83,51
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/8/2020,69,85,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/9/2020,74,82,57
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/10/2020,68,79,56
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/11/2020,67,79,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/12/2020,66,80,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/13/2020,68,82,53
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/14/2020,65,75,56
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/15/2020,66,80,55
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/16/2020,66,78,52
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/17/2020,67,86,48
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/18/2020,73,85,63
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/19/2020,67,70,48
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/20/2020,60,73,44
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/21/2020,60,66,53
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/22/2020,63,78,45
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/23/2020,63,79,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/24/2020,72,90,58
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/25/2020,80,86,68
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/26/2020,74,78,62
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/27/2020,68,78,56
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/28/2020,66,77,52
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/29/2020,64,77,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/30/2020,65,81,47
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",7/31/2020,66,85,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/1/2020,70,78,55
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/2/2020,66,75,52
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/3/2020,61,76,39
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/4/2020,62,76,44
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/5/2020,62,80,42
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/6/2020,65,80,48
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/7/2020,69,80,59
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/8/2020,72,82,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/9/2020,61,76,48
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/10/2020,64,76,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/11/2020,65,79,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/12/2020,65,81,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/13/2020,67,79,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/14/2020,68,71,61
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/15/2020,64,76,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/16/2020,64,77,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/17/2020,61,73,43
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/18/2020,61,81,43
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/19/2020,71,85,60
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/20/2020,72,80,63
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/21/2020,70,84,62
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/22/2020,71,81,61
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/23/2020,69,80,61
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/24/2020,72,82,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/25/2020,65,80,49
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/26/2020,69,80,59
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/27/2020,64,75,48
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/28/2020,65,74,54
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/29/2020,60,72,44
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/30/2020,57,74,42
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",8/31/2020,60,67,45
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/1/2020,54,66,39
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/2/2020,57,70,50
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/3/2020,56,61,46
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/4/2020,53,66,41
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/5/2020,53,71,35
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/6/2020,59,72,49
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/7/2020,50,54,37
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/8/2020,44,55,32
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/9/2020,42,57,28
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/10/2020,46,68,28
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/11/2020,52,69,34
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/12/2020,55,61,45
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/13/2020,53,64,35
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/14/2020,46,62,30
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/15/2020,58,67,52
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/16/2020,53,56,27
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",9/17/2020,39,55,23
